Year,Order_ID,Order_Sales,Running_Sales
2011,AE-2011-9160,83,161
2011,AE-2011-9160,78,161
2011,AG-2011-1070,309,470
2011,AG-2011-1390,26,1077
2011,AG-2011-1390,581,1077
2011,AG-2011-1440,59,1136
2011,AG-2011-2040,408,1544
2011,AG-2011-3090,277,1821
2011,AG-2011-3130,36,1857
2011,AG-2011-380,113,1970
2011,AG-2011-4410,25,1995
2011,AG-2011-4450,11,2006
2011,AG-2011-450,11,2017
2011,AG-2011-4560,1112,3493
2011,AG-2011-4560,260,3493
2011,AG-2011-4560,104,3493
2011,AG-2011-500,55,3548
2011,AG-2011-60,10,3558
2011,AG-2011-7230,91,3649
2011,AG-2011-7710,875,4524
2011,AG-2011-8180,54,5932
2011,AG-2011-8180,394,5932
2011,AG-2011-8180,8,5932
2011,AG-2011-8180,339,5932
2011,AG-2011-8180,613,5932
2011,AG-2011-8390,55,5987
2011,AG-2011-8930,116,6103
2011,AG-2011-9060,198,6301
2011,AG-2011-9610,299,6600
2011,AG-2011-9670,1589,8189
2011,AG-2011-9890,63,8699
2011,AG-2011-9890,13,8699
2011,AG-2011-9890,434,8699
2011,AJ-2011-4230,24,8723
2011,AJ-2011-4420,455,9315
2011,AJ-2011-4420,28,9315
2011,AJ-2011-4420,13,9315
2011,AJ-2011-4420,96,9315
2011,AJ-2011-4460,49,9364
2011,AJ-2011-7680,138,9502
2011,AL-2011-4500,33,9579
2011,AL-2011-4500,28,9579
2011,AL-2011-4500,16,9579
2011,AL-2011-7440,1619,11198
2011,AL-2011-9500,11,11209
2011,AM-2011-7110,42,11345
2011,AM-2011-7110,94,11345
2011,AO-2011-1390,206,11551
2011,AO-2011-1670,2479,14030
2011,AO-2011-1710,9,14039
2011,AO-2011-4780,441,15466
2011,AO-2011-4780,986,15466
2011,AO-2011-4910,28,15494
2011,AO-2011-7110,255,15880
2011,AO-2011-7110,56,15880
2011,AO-2011-7110,47,15880
2011,AO-2011-7110,28,15880
2011,AO-2011-8000,27,16295
2011,AO-2011-8000,245,16295
2011,AO-2011-8000,143,16295
2011,AO-2011-8260,40,16810
2011,AO-2011-8260,107,16810
2011,AO-2011-8260,15,16810
2011,AO-2011-8260,227,16810
2011,AO-2011-8260,65,16810
2011,AO-2011-8260,61,16810
2011,AO-2011-8430,825,17732
2011,AO-2011-8430,48,17732
2011,AO-2011-8430,49,17732
2011,AO-2011-9910,29,17761
2011,AU-2011-0,923,18684
2011,AU-2011-3990,493,19226
2011,AU-2011-3990,28,19226
2011,AU-2011-3990,21,19226
2011,AU-2011-4210,24,19329
2011,AU-2011-4210,79,19329
2011,AU-2011-5790,110,19439
2011,AU-2011-790,8,19447
2011,AU-2011-9050,16,19507
2011,AU-2011-9050,44,19507
2011,BK-2011-6660,349,19856
2011,BN-2011-1530,44,19900
2011,BN-2011-2460,1378,21335
2011,BN-2011-2460,57,21335
2011,BN-2011-2620,12,21347
2011,BN-2011-4470,487,21893
2011,BN-2011-4470,59,21893
2011,BN-2011-6760,621,22514
2011,BO-2011-470,27,22570
2011,BO-2011-470,29,22570
2011,BO-2011-6900,32,22602
2011,BO-2011-7760,82,22727
2011,BO-2011-7760,19,22727
2011,BO-2011-7760,24,22727
2011,BO-2011-9310,18,22833
2011,BO-2011-9310,88,22833
2011,BU-2011-1220,19,22932
2011,BU-2011-1220,80,22932
2011,BU-2011-2880,639,23571
2011,BU-2011-5160,24,23869
2011,BU-2011-5160,14,23869
2011,BU-2011-5160,260,23869
2011,BU-2011-5830,317,24265
2011,BU-2011-5830,55,24265
2011,BU-2011-5830,24,24265
2011,BU-2011-7450,1273,25538
2011,BY-2011-3790,51,25589
2011,CA-2011-100006,378,25967
2011,CA-2011-100090,197,26666
2011,CA-2011-100090,502,26666
2011,CA-2011-100293,91,26757
2011,CA-2011-100328,4,26761
2011,CA-2011-100363,19,26782
2011,CA-2011-100363,2,26782
2011,CA-2011-100391,15,26797
2011,CA-2011-100678,228,27494
2011,CA-2011-100678,149,27494
2011,CA-2011-100678,3,27494
2011,CA-2011-100678,317,27494
2011,CA-2011-100706,29,27623
2011,CA-2011-100706,100,27623
2011,CA-2011-100762,152,28132
2011,CA-2011-100762,144,28132
2011,CA-2011-100762,197,28132
2011,CA-2011-100762,16,28132
2011,CA-2011-100860,19,28151
2011,CA-2011-100867,322,28473
2011,CA-2011-100881,302,28775
2011,CA-2011-100895,240,29381
2011,CA-2011-100895,357,29381
2011,CA-2011-100895,9,29381
2011,CA-2011-100916,3,30170
2011,CA-2011-100916,591,30170
2011,CA-2011-100916,195,30170
2011,CA-2011-100972,166,30336
2011,CA-2011-101147,2,30338
2011,CA-2011-101175,101,30439
2011,CA-2011-101266,13,30452
2011,CA-2011-101364,297,30749
2011,CA-2011-101392,269,31018
2011,CA-2011-101427,8,31026
2011,CA-2011-101462,60,31086
2011,CA-2011-101476,70,31156
2011,CA-2011-101560,398,31699
2011,CA-2011-101560,13,31699
2011,CA-2011-101560,46,31699
2011,CA-2011-101560,86,31699
2011,CA-2011-101602,763,32503
2011,CA-2011-101602,41,32503
2011,CA-2011-101770,2,32505
2011,CA-2011-101833,34,32539
2011,CA-2011-101931,141,33791
2011,CA-2011-101931,6,33791
2011,CA-2011-101931,481,33791
2011,CA-2011-101931,617,33791
2011,CA-2011-101931,7,33791
2011,CA-2011-102008,49,33840
2011,CA-2011-102085,29,33869
2011,CA-2011-102274,37,34734
2011,CA-2011-102274,194,34734
2011,CA-2011-102274,629,34734
2011,CA-2011-102274,5,34734
2011,CA-2011-102295,121,34855
2011,CA-2011-102330,320,35264
2011,CA-2011-102330,89,35264
2011,CA-2011-102645,40,35304
2011,CA-2011-102652,19,35503
2011,CA-2011-102652,55,35503
2011,CA-2011-102652,92,35503
2011,CA-2011-102652,33,35503
2011,CA-2011-102673,8,36548
2011,CA-2011-102673,48,36548
2011,CA-2011-102673,979,36548
2011,CA-2011-102673,10,36548
2011,CA-2011-102869,16,36782
2011,CA-2011-102869,65,36782
2011,CA-2011-102869,17,36782
2011,CA-2011-102869,136,36782
2011,CA-2011-102988,23,41034
2011,CA-2011-102988,23,41034
2011,CA-2011-102988,13,41034
2011,CA-2011-102988,29,41034
